,field_1,point_id,lon,lat,target,index_right,NAME,bus_stop_300,railway,n_railway,n_mobile,n_electronics,geometry
0,0,ommNZCUV,37.590776,55.84863000000001,-0.34815737860381524,41,Москва,6,206.09,14.0,8.0,1.0,POINT (37.590776 55.84863000000001)
1,1,nMe2LHPb,37.784209999999995,55.750271,1.294206304946465,41,Москва,9,212.708,7.0,8.0,1.0,POINT (37.78420999999999 55.750271)
2,3,0t2jNYdz,37.704570000000004,55.782019999999996,-1.1693392203789554,41,Москва,7,3249.31,2.0,11.0,7.0,POINT (37.70457 55.78202)
3,4,U27W4QJ7,37.643983,55.730188,-0.08883679699061309,41,Москва,5,140.29000000000002,21.0,12.0,1.0,POINT (37.643983 55.730188)
4,7,CO76tdVs,37.444303999999995,55.850511,0.21370388155812275,41,Москва,6,335.01099999999997,37.0,8.0,4.0,POINT (37.444304 55.850511)
5,11,XPqFCntc,37.437191,55.664705000000005,-0.5642578632814836,41,Москва,5,1354.3600000000004,1.0,6.0,2.0,POINT (37.437191 55.664705)
6,14,Nj7qV6KG,37.799786,55.793427,0.4730244631713249,41,Москва,12,428.199,8.0,8.0,0.0,POINT (37.799786 55.793427)
7,15,E2fZAexI,37.40478,55.81024,-0.5642578632814836,41,Москва,3,267.58399999999995,7.0,4.0,2.0,POINT (37.40478 55.81024)
8,19,e5ZywFU6,37.730449,55.706607999999996,0.3865842693002575,41,Москва,9,3812.8080000000004,1.0,12.0,1.0,POINT (37.730449 55.706608)
9,21,wXDJYllD,37.597414,55.850995,0.6459048509134596,41,Москва,3,2381.718999999999,1.0,7.0,1.0,POINT (37.597414 55.850995)
10,27,tFr5ROxI,37.825155,55.724123999999996,-0.4345975724748826,41,Москва,8,2341.562,4.0,7.0,3.0,POINT (37.825155 55.724124)
11,28,kg8oDow1,37.628508000000004,55.759601,-1.2557794142500227,41,Москва,11,1079.2279999999998,7.0,15.0,11.0,POINT (37.628508 55.759601)
12,29,0eSE1PRt,37.491046000000004,55.683744,-0.30493728166828155,41,Москва,1,,,2.0,0.0,POINT (37.491046 55.683744)
13,30,dFRJyrdz,37.595278,55.58303299999999,-0.045616700055079396,41,Москва,5,3846.3150000000005,1.0,8.0,0.0,POINT (37.595278 55.58303299999999)
14,31,IVSpPooR,37.538765000000005,55.908623,-1.0396789295723543,41,Москва,6,176.18900000000002,4.0,0.0,7.0,POINT (37.53876500000001 55.908623)
15,32,ePTGtnXP,37.535637,55.691697999999995,-0.34815737860381524,41,Москва,9,970.333,6.0,4.0,0.0,POINT (37.535637 55.691698)
16,33,XTKhDNze,37.659739,55.845203000000005,-1.1045090749756548,41,Москва,2,1158.6380000000004,7.0,1.0,8.0,POINT (37.659739 55.84520300000001)
17,34,saJNxolJ,37.40677,55.75784,-1.1693392203789554,41,Москва,6,2237.283999999999,3.0,3.0,2.0,POINT (37.40677 55.75784)
18,35,kXV2cKsB,37.660087,55.843941,-0.4778176694104163,41,Москва,0,2993.993,1.0,1.0,8.0,POINT (37.660087 55.843941)
19,36,Ge3rjnNS,37.436246999999995,55.826377,0.3865842693002575,41,Москва,27,350.0919999999999,13.0,10.0,1.0,POINT (37.43624699999999 55.826377)
20,37,Uep82ylV,37.637687,55.80745600000001,0.5162445601068586,41,Москва,8,3192.5390000000007,1.0,2.0,5.0,POINT (37.637687 55.80745600000001)
21,38,eqECPIIT,37.7381,55.815425,-0.30493728166828155,41,Москва,4,658.4730000000001,10.0,3.0,2.0,POINT (37.7381 55.815425)
22,39,jc6nGwVC,37.603394,55.609839,0.6459048509134596,41,Москва,10,608.4510000000001,8.0,10.0,6.0,POINT (37.603394 55.609839)
23,41,FghElX6D,37.438987,55.849423,1.5535268865596672,41,Москва,7,1406.2170000000006,3.0,8.0,4.0,POINT (37.438987 55.849423)
24,48,Etvm4Few,37.634434000000006,55.82400500000001,-0.045616700055079396,41,Москва,11,2378.1240000000003,1.0,4.0,0.0,POINT (37.63443400000001 55.82400500000001)
25,51,lwTDMNbZ,37.765758,55.704133999999996,0.6459048509134596,41,Москва,11,1528.1240000000005,2.0,6.0,2.0,POINT (37.765758 55.704134)
26,52,jskwtTpg,37.62166,55.681346,-0.6939181540880848,41,Москва,7,352.209,3.0,4.0,2.0,POINT (37.62166 55.681346)
27,54,c5wVfiUF,37.679968,55.77293,1.8128474681728692,41,Москва,9,1489.4440000000002,8.0,4.0,4.0,POINT (37.679968 55.77293)
28,55,yyX5XM5Y,37.728164,55.691734,-0.34815737860381524,41,Москва,9,72.15400000000001,54.0,3.0,0.0,POINT (37.728164 55.691734)
29,56,ZfbQN6SL,37.646375,55.653255,-0.002396603119545705,41,Москва,10,836.804,8.0,4.0,2.0,POINT (37.646375 55.653255)
30,60,8NvqE4CJ,37.486227,55.839988,0.4730244631713249,41,Москва,9,104.23400000000001,8.0,7.0,3.0,POINT (37.486227 55.839988)
31,72,lkWtEXwO,37.493066,55.839565,1.0781058202687965,41,Москва,1,587.58,2.0,7.0,3.0,POINT (37.493066 55.839565)
32,73,zT71jR4g,37.599148,55.583953,1.3806464988175324,41,Москва,5,179.985,8.0,5.0,0.0,POINT (37.599148 55.583953)
33,74,VdNzagUv,37.678141,55.789393999999994,1.2509862080109313,41,Москва,13,1232.38,10.0,13.0,6.0,POINT (37.678141 55.78939399999999)
34,76,EYeTJlnp,37.653334,55.856351000000004,0.04082349381598799,41,Москва,11,184.001,2.0,0.0,2.0,POINT (37.653334 55.856351)
35,77,Sz1ye8MD,37.593725,55.752097,0.4298043662357912,41,Москва,4,1039.5529999999999,10.0,9.0,4.0,POINT (37.593725 55.752097)
36,79,UT4p9zvj,37.659371,55.776858999999995,-0.4345975724748826,41,Москва,3,70.703,6.0,12.0,5.0,POINT (37.659371 55.77685899999999)
37,86,rhifIvhc,37.366207,55.644661,1.034885723333263,41,Москва,8,254.43599999999998,17.0,1.0,1.0,POINT (37.366207 55.644661)
38,87,n59CZdDP,37.579529,55.807542000000005,-0.34815737860381524,41,Москва,13,277.381,7.0,4.0,5.0,POINT (37.579529 55.80754200000001)
39,89,DcWDQ5JC,37.515103,55.805803000000004,0.5594646570423922,41,Москва,9,397.61499999999995,6.0,6.0,1.0,POINT (37.515103 55.805803)
40,91,s8LhdRDp,37.723067,55.782563,-0.26171718473274785,41,Москва,7,1903.6370000000002,1.0,9.0,4.0,POINT (37.723067 55.782563)
41,95,BpoVvgKO,37.46445,55.809509999999996,-0.650698057152551,41,Москва,10,296.187,7.0,1.0,1.0,POINT (37.46445 55.80951)
42,97,5UKRuSA9,37.576824,55.838028,2.850129794625678,41,Москва,9,207.82600000000002,5.0,1.0,5.0,POINT (37.576824 55.838028)
43,99,5jpPGoo6,37.517761,55.524437,-0.5858679117492506,41,Москва,4,788.056,7.0,3.0,0.0,POINT (37.517761 55.524437)
44,102,2jNsxoXl,37.525127000000005,55.643668000000005,-0.39137747553934893,41,Москва,14,3604.883,1.0,7.0,1.0,POINT (37.525127 55.64366800000001)
45,106,9RYHfP3m,37.38073,55.766712,-0.4778176694104163,41,Москва,1,2060.9170000000004,3.0,0.0,4.0,POINT (37.38073 55.766712)
46,108,5WiIuenb,37.625792,55.726877,0.5810747055101592,41,Москва,8,174.86700000000002,9.0,20.0,1.0,POINT (37.625792 55.726877)
47,110,0yC9gVuF,37.795349,55.759304,-1.082899026507888,41,Москва,6,4250.59,1.0,8.0,0.0,POINT (37.795349 55.759304)
48,111,5RDhXAew,37.589706,55.749205,-0.26171718473274785,41,Москва,0,289.244,14.0,9.0,4.0,POINT (37.589706 55.749205)
49,117,BS42UrdB,37.601719,55.611703000000006,0.25692397849365645,41,Москва,9,1794.068,1.0,10.0,6.0,POINT (37.601719 55.61170300000001)
50,119,dv6A4N9j,37.41172,55.647053,2.2450484375282063,41,Москва,8,1044.656,8.0,4.0,0.0,POINT (37.41172 55.647053)
51,125,kMeJWHoE,37.67892,55.78856999999999,-0.4778176694104163,41,Москва,10,284.51,8.0,14.0,6.0,POINT (37.67892 55.78856999999999)
52,127,Up3Qbuvy,37.474799,55.72790500000001,0.5162445601068586,41,Москва,10,176.413,11.0,1.0,5.0,POINT (37.474799 55.72790500000001)
53,128,zqxBvgo3,37.602418,55.689662,0.4730244631713249,41,Москва,8,4552.889999999999,1.0,1.0,2.0,POINT (37.602418 55.689662)
54,129,omENfbNH,37.305857,55.485758,0.8620053355911281,41,Москва,4,285.251,33.0,1.0,2.0,POINT (37.305857 55.485758)
55,133,du4QcmQO,37.61114,55.72961,-0.52103776634595,41,Москва,8,378.817,9.0,13.0,2.0,POINT (37.61114 55.72961)
56,140,XFkAf5M7,37.492272,55.793785,0.732345044784527,41,Москва,15,243.488,7.0,3.0,0.0,POINT (37.492272 55.793785)
57,142,ck6UZCBf,37.765282,55.677014,0.8620053355911281,41,Москва,11,2852.572,5.0,6.0,1.0,POINT (37.765282 55.677014)
58,149,c0UVFgm4,37.608376,55.640498,-0.7371382510236184,41,Москва,6,1480.344,4.0,1.0,4.0,POINT (37.608376 55.640498)
59,153,6Ujlr2LT,37.599224,55.594651,-0.4345975724748826,41,Москва,9,,,0.0,0.0,POINT (37.599224 55.594651)
60,157,jyqrl6X7,37.577366,55.819331000000005,0.21370388155812275,41,Москва,8,163.461,8.0,7.0,1.0,POINT (37.577366 55.81933100000001)
61,160,3Ix3aKz2,37.605121999999994,55.864849,-0.8235784448946858,41,Москва,13,412.24,7.0,0.0,3.0,POINT (37.60512199999999 55.864849)
62,168,oVuxDTxV,37.749337,55.788125,-0.6074779602170174,41,Москва,12,603.522,4.0,9.0,0.0,POINT (37.749337 55.788125)
